country_name,country_code,latitude,longitude,year,water_stress_index,water_stress_category
Afghanistan,AFG,33,65,1962,5157.637192,No Stress
Afghanistan,AFG,33,65,1967,4612.644496,No Stress
Afghanistan,AFG,33,65,1972,4049.164674,No Stress
Afghanistan,AFG,33,65,1977,3617.334358,No Stress
Afghanistan,AFG,33,65,1982,3731.847116,No Stress
Afghanistan,AFG,33,65,1987,4261.913041,No Stress
Afghanistan,AFG,33,65,1992,3413.728881,No Stress
Afghanistan,AFG,33,65,1997,2478.809726,No Stress
Afghanistan,AFG,33,65,2002,2123.605458,No Stress
Afghanistan,AFG,33,65,2007,1789.425222,No Stress
Afghanistan,AFG,33,65,2012,1580.913111,Stress
Afghanistan,AFG,33,65,2013,1543.286957,Stress
Albania,ALB,41,20,1962,15718.86948,No Stress
Albania,ALB,41,20,1967,13685.40261,No Stress
Albania,ALB,41,20,1972,11992.19304,No Stress
Albania,ALB,41,20,1977,10702.01222,No Stress
Albania,ALB,41,20,1982,9661.391571,No Stress
Albania,ALB,41,20,1987,8723.555708,No Stress
Albania,ALB,41,20,1992,8284.470867,No Stress
Albania,ALB,41,20,1997,8544.345311,No Stress
Albania,ALB,41,20,2002,8816.752485,No Stress
Albania,ALB,41,20,2007,9057.187215,No Stress
Albania,ALB,41,20,2012,9274.29823,No Stress
Albania,ALB,41,20,2013,9284.29477,No Stress
Algeria,DZA,28,3,1962,949.7736077,Scarcity
Algeria,DZA,28,3,1967,833.5446832,Scarcity
Algeria,DZA,28,3,1972,725.2500211,Scarcity
Algeria,DZA,28,3,1977,631.7195305,Scarcity
Algeria,DZA,28,3,1982,541.7361213,Scarcity
Algeria,DZA,28,3,1987,464.381946,Absolute Scarcity
Algeria,DZA,28,3,1992,408.5686692,Absolute Scarcity
Algeria,DZA,28,3,1997,370.7308367,Absolute Scarcity
Algeria,DZA,28,3,2002,345.3783177,Absolute Scarcity
Algeria,DZA,28,3,2007,320.5398244,Absolute Scarcity
Algeria,DZA,28,3,2012,292.3467138,Absolute Scarcity
Algeria,DZA,28,3,2013,286.9298188,Absolute Scarcity
American Samoa,ASM,-14.3333,-170,1962,,-
American Samoa,ASM,-14.3333,-170,1967,,-
American Samoa,ASM,-14.3333,-170,1972,,-
American Samoa,ASM,-14.3333,-170,1977,,-
American Samoa,ASM,-14.3333,-170,1982,,-
American Samoa,ASM,-14.3333,-170,1987,,-
American Samoa,ASM,-14.3333,-170,1992,,-
American Samoa,ASM,-14.3333,-170,1997,,-
American Samoa,ASM,-14.3333,-170,2002,,-
American Samoa,ASM,-14.3333,-170,2007,,-
American Samoa,ASM,-14.3333,-170,2012,,-
American Samoa,ASM,-14.3333,-170,2013,,-
Andorra,AND,42.5,1.6,1962,20525.49428,No Stress
Andorra,AND,42.5,1.6,1967,15205.97446,No Stress
Andorra,AND,42.5,1.6,1972,11735.83222,No Stress
Andorra,AND,42.5,1.6,1977,9631.05374,No Stress
Andorra,AND,42.5,1.6,1982,8069.134792,No Stress
Andorra,AND,42.5,1.6,1987,6512.856494,No Stress
Andorra,AND,42.5,1.6,1992,5357.870433,No Stress
Andorra,AND,42.5,1.6,1997,4924.325168,No Stress
Andorra,AND,42.5,1.6,2002,4405.421628,No Stress
Andorra,AND,42.5,1.6,2007,3882.300841,No Stress
Andorra,AND,42.5,1.6,2012,4027.565084,No Stress
Andorra,AND,42.5,1.6,2013,3983.943043,No Stress
Angola,AGO,-12.5,18.5,1962,28737.43999,No Stress
Angola,AGO,-12.5,18.5,1967,26336.19253,No Stress
Angola,AGO,-12.5,18.5,1972,23944.87631,No Stress
Angola,AGO,-12.5,18.5,1977,21174.4676,No Stress
Angola,AGO,-12.5,18.5,1982,18070.61287,No Stress
Angola,AGO,-12.5,18.5,1987,15479.51673,No Stress
Angola,AGO,-12.5,18.5,1992,13451.17288,No Stress
Angola,AGO,-12.5,18.5,1997,11570.28463,No Stress
Angola,AGO,-12.5,18.5,2002,9941.844242,No Stress
Angola,AGO,-12.5,18.5,2007,8355.528176,No Stress
Angola,AGO,-12.5,18.5,2012,7108.370226,No Stress
Angola,AGO,-12.5,18.5,2013,6892.820094,No Stress
Antigua and Barbuda,ATG,17.05,-61.8,1962,923.4430218,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,1967,838.6826231,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,1972,773.751953,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,1977,740.4981274,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,1982,754.1696882,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,1987,819.1040262,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,1992,819.7496611,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,1997,719.9025363,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,2002,649.7563414,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,2007,616.1356446,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,2012,583.8170407,Scarcity
Antigua and Barbuda,ATG,17.05,-61.8,2013,577.8740901,Scarcity
Argentina,ARG,-34,-64,1962,12960.61242,No Stress
Argentina,ARG,-34,-64,1967,12030.61163,No Stress
Argentina,ARG,-34,-64,1972,11135.3947,No Stress
Argentina,ARG,-34,-64,1977,10264.12876,No Stress
Argentina,ARG,-34,-64,1982,9520.830076,No Stress
Argentina,ARG,-34,-64,1987,8830.707467,No Stress
Argentina,ARG,-34,-64,1992,8711.008504,No Stress
Argentina,ARG,-34,-64,1997,8181.385119,No Stress
Argentina,ARG,-34,-64,2002,7760.272428,No Stress
Argentina,ARG,-34,-64,2007,7424.101843,No Stress
Argentina,ARG,-34,-64,2012,7106.883413,No Stress
Argentina,ARG,-34,-64,2013,7045.270155,No Stress
Armenia,ARM,40,45,1962,,-
Armenia,ARM,40,45,1967,,-
Armenia,ARM,40,45,1972,,-
Armenia,ARM,40,45,1977,,-
Armenia,ARM,40,45,1982,,-
Armenia,ARM,40,45,1987,,-
Armenia,ARM,40,45,1992,1988.405846,No Stress
Armenia,ARM,40,45,1997,2186.029553,No Stress
Armenia,ARM,40,45,2002,2251.065145,No Stress
Armenia,ARM,40,45,2007,2294.070468,No Stress
Armenia,ARM,40,45,2012,2310.142431,No Stress
Armenia,ARM,40,45,2013,2304.333248,No Stress
Aruba,ABW,12.5,-69.9667,1962,,-
Aruba,ABW,12.5,-69.9667,1967,,-
Aruba,ABW,12.5,-69.9667,1972,,-
Aruba,ABW,12.5,-69.9667,1977,,-
Aruba,ABW,12.5,-69.9667,1982,,-
Aruba,ABW,12.5,-69.9667,1987,,-
Aruba,ABW,12.5,-69.9667,1992,,-
Aruba,ABW,12.5,-69.9667,1997,,-
Aruba,ABW,12.5,-69.9667,2002,,-
Aruba,ABW,12.5,-69.9667,2007,,-
Aruba,ABW,12.5,-69.9667,2012,,-
Aruba,ABW,12.5,-69.9667,2013,,-
Australia,AUS,-27,133,1962,45801.52672,No Stress
Australia,AUS,-27,133,1967,41698.44902,No Stress
Australia,AUS,-27,133,1972,37337.78554,No Stress
Australia,AUS,-27,133,1977,34667.41826,No Stress
Australia,AUS,-27,133,1982,32415.33799,No Stress
Australia,AUS,-27,133,1987,30251.0468,No Stress
Australia,AUS,-27,133,1992,28122.32066,No Stress
Australia,AUS,-27,133,1997,26570.17875,No Stress
Australia,AUS,-27,133,2002,25036.38418,No Stress
Australia,AUS,-27,133,2007,23622.50091,No Stress
Australia,AUS,-27,133,2012,21647.02155,No Stress
Australia,AUS,-27,133,2013,21271.72029,No Stress
Austria,AUT,47.3333,13.3333,1962,7714.032133,No Stress
Austria,AUT,47.3333,13.3333,1967,7455.607281,No Stress
Austria,AUT,47.3333,13.3333,1972,7290.367794,No Stress
Austria,AUT,47.3333,13.3333,1977,7267.028961,No Stress
Austria,AUT,47.3333,13.3333,1982,7261.550486,No Stress
Austria,AUT,47.3333,13.3333,1987,7261.122918,No Stress
Austria,AUT,47.3333,13.3333,1992,7014.67176,No Stress
Austria,AUT,47.3333,13.3333,1997,6902.574924,No Stress
Austria,AUT,47.3333,13.3333,2002,6805.282433,No Stress
Austria,AUT,47.3333,13.3333,2007,6630.111047,No Stress
Austria,AUT,47.3333,13.3333,2012,6524.324878,No Stress
Austria,AUT,47.3333,13.3333,2013,6485.984436,No Stress
Azerbaijan,AZE,40.5,47.5,1962,,-
Azerbaijan,AZE,40.5,47.5,1967,,-
Azerbaijan,AZE,40.5,47.5,1972,,-
Azerbaijan,AZE,40.5,47.5,1977,,-
Azerbaijan,AZE,40.5,47.5,1982,,-
Azerbaijan,AZE,40.5,47.5,1987,,-
Azerbaijan,AZE,40.5,47.5,1992,1099.295584,Stress
Azerbaijan,AZE,40.5,47.5,1997,1035.307626,Stress
Azerbaijan,AZE,40.5,47.5,2002,993.0310391,Scarcity
Azerbaijan,AZE,40.5,47.5,2007,945.6609138,Scarcity
Azerbaijan,AZE,40.5,47.5,2012,872.9763945,Scarcity
Azerbaijan,AZE,40.5,47.5,2013,861.7576181,Scarcity
Bahamas,BHS,24.25,-76,1962,165.1759537,Absolute Scarcity
Bahamas,BHS,24.25,-76,1967,131.0555872,Absolute Scarcity
Bahamas,BHS,24.25,-76,1972,112.4581094,Absolute Scarcity
Bahamas,BHS,24.25,-76,1977,101.4620684,Absolute Scarcity
Bahamas,BHS,24.25,-76,1982,90.79600861,Absolute Scarcity
Bahamas,BHS,24.25,-76,1987,82.17028147,Absolute Scarcity
Bahamas,BHS,24.25,-76,1992,75.16056175,Absolute Scarcity
Bahamas,BHS,24.25,-76,1997,69.724067,Absolute Scarcity
Bahamas,BHS,24.25,-76,2002,64.71675096,Absolute Scarcity
Bahamas,BHS,24.25,-76,2007,58.47115472,Absolute Scarcity
Bahamas,BHS,24.25,-76,2012,53.7692225,Absolute Scarcity
Bahamas,BHS,24.25,-76,2013,52.99782179,Absolute Scarcity
Bahrain,BHR,26,50.55,1962,23.10709561,Absolute Scarcity
Bahrain,BHR,26,50.55,1967,20.38704811,Absolute Scarcity
Bahrain,BHR,26,50.55,1972,17.42251337,Absolute Scarcity
Bahrain,BHR,26,50.55,1977,13.19104592,Absolute Scarcity
Bahrain,BHR,26,50.55,1982,10.36403679,Absolute Scarcity
Bahrain,BHR,26,50.55,1987,8.908566923,Absolute Scarcity
Bahrain,BHR,26,50.55,1992,7.651826587,Absolute Scarcity
Bahrain,BHR,26,50.55,1997,6.695681286,Absolute Scarcity
Bahrain,BHR,26,50.55,2002,5.460445217,Absolute Scarcity
Bahrain,BHR,26,50.55,2007,3.874643654,Absolute Scarcity
Bahrain,BHR,26,50.55,2012,3.035299778,Absolute Scarcity
Bahrain,BHR,26,50.55,2013,3.002617532,Absolute Scarcity
Bangladesh,BGD,24,90,1962,2003.692787,No Stress
Bangladesh,BGD,24,90,1967,1722.254819,No Stress
Bangladesh,BGD,24,90,1972,1527.715598,Stress
Bangladesh,BGD,24,90,1977,1383.762306,Stress
Bangladesh,BGD,24,90,1982,1206.05672,Stress
Bangladesh,BGD,24,90,1987,1055.520509,Stress
Bangladesh,BGD,24,90,1992,933.9063949,Scarcity
Bangladesh,BGD,24,90,1997,840.367644,Scarcity
Bangladesh,BGD,24,90,2002,766.3882325,Scarcity
Bangladesh,BGD,24,90,2007,716.9336526,Scarcity
Bangladesh,BGD,24,90,2012,678.7533548,Scarcity
Bangladesh,BGD,24,90,2013,670.5196557,Scarcity
Barbados,BRB,13.1667,-59.5333,1962,344.0653036,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,1967,338.315022,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,1972,331.4454751,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,1977,323.7084035,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,1982,319.0047053,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,1987,311.8908382,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,1992,306.5568682,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,1997,302.3363038,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,2002,296.8195782,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,2007,289.5644589,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,2012,282.4649302,Absolute Scarcity
Barbados,BRB,13.1667,-59.5333,2013,281.0528239,Absolute Scarcity
Belarus,BLR,53,28,1962,,-
Belarus,BLR,53,28,1967,,-
Belarus,BLR,53,28,1972,,-
Belarus,BLR,53,28,1977,,-
Belarus,BLR,53,28,1982,,-
Belarus,BLR,53,28,1987,,-
Belarus,BLR,53,28,1992,3641.346907,No Stress
Belarus,BLR,53,28,1997,3676.979342,No Stress
Belarus,BLR,53,28,2002,3770.907248,No Stress
Belarus,BLR,53,28,2007,3891.213389,No Stress
Belarus,BLR,53,28,2012,3930.6847,No Stress
Belarus,BLR,53,28,2013,3929.854215,No Stress
Belgium,BEL,50.8333,4,1962,1301.436851,Stress
Belgium,BEL,50.8333,4,1967,1252.480041,Stress
Belgium,BEL,50.8333,4,1972,1235.697446,Stress
Belgium,BEL,50.8333,4,1977,1220.70834,Stress
Belgium,BEL,50.8333,4,1982,1217.495038,Stress
Belgium,BEL,50.8333,4,1987,1215.776647,Stress
Belgium,BEL,50.8333,4,1992,1194.605401,Stress
Belgium,BEL,50.8333,4,1997,1178.63778,Stress
Belgium,BEL,50.8333,4,2002,1161.351949,Stress
Belgium,BEL,50.8333,4,2007,1129.337361,Stress
Belgium,BEL,50.8333,4,2012,1078.337053,Stress
Belgium,BEL,50.8333,4,2013,1073.074879,Stress
Belize,BLZ,17.25,-88.75,1962,164289.6015,No Stress
Belize,BLZ,17.25,-88.75,1967,141971.0911,No Stress
Belize,BLZ,17.25,-88.75,1972,125837.6066,No Stress
Belize,BLZ,17.25,-88.75,1977,116795.9939,No Stress
Belize,BLZ,17.25,-88.75,1982,105611.9553,No Stress
Belize,BLZ,17.25,-88.75,1987,91822.09469,No Stress
Belize,BLZ,17.25,-88.75,1992,78298.97277,No Stress
Belize,BLZ,17.25,-88.75,1997,69844.93144,No Stress
Belize,BLZ,17.25,-88.75,2002,60611.83798,No Stress
Belize,BLZ,17.25,-88.75,2007,53320.10231,No Stress
Belize,BLZ,17.25,-88.75,2012,47090.04505,No Stress
Belize,BLZ,17.25,-88.75,2013,45977.70413,No Stress
Benin,BEN,9.5,2.25,1962,4114.680541,No Stress
Benin,BEN,9.5,2.25,1967,3768.131848,No Stress
Benin,BEN,9.5,2.25,1972,3388.938242,No Stress
Benin,BEN,9.5,2.25,1977,3000.936409,No Stress
Benin,BEN,9.5,2.25,1982,2619.96182,No Stress
Benin,BEN,9.5,2.25,1987,2265.660332,No Stress
Benin,BEN,9.5,2.25,1992,1915.129636,No Stress
Benin,BEN,9.5,2.25,1997,1619.165639,Stress
Benin,BEN,9.5,2.25,2002,1389.124156,Stress
Benin,BEN,9.5,2.25,2007,1182.889673,Stress
Benin,BEN,9.5,2.25,2012,1024.804039,Stress
Benin,BEN,9.5,2.25,2013,997.726153,Scarcity
Bermuda,BMU,32.3333,-64.75,1962,,-
Bermuda,BMU,32.3333,-64.75,1967,,-
Bermuda,BMU,32.3333,-64.75,1972,,-
Bermuda,BMU,32.3333,-64.75,1977,,-
Bermuda,BMU,32.3333,-64.75,1982,,-
Bermuda,BMU,32.3333,-64.75,1987,,-
Bermuda,BMU,32.3333,-64.75,1992,,-
Bermuda,BMU,32.3333,-64.75,1997,,-
Bermuda,BMU,32.3333,-64.75,2002,,-
Bermuda,BMU,32.3333,-64.75,2007,,-
Bermuda,BMU,32.3333,-64.75,2012,,-
Bermuda,BMU,32.3333,-64.75,2013,,-
Bhutan,BTN,27.5,90.5,1962,404672.0453,No Stress
Bhutan,BTN,27.5,90.5,1967,356642.7528,No Stress
Bhutan,BTN,27.5,90.5,1972,303686.11,No Stress
Bhutan,BTN,27.5,90.5,1977,253365.0884,No Stress
Bhutan,BTN,27.5,90.5,1982,218595.8324,No Stress
Bhutan,BTN,27.5,90.5,1987,189548.1173,No Stress
Bhutan,BTN,27.5,90.5,1992,179820.7093,No Stress
Bhutan,BTN,27.5,90.5,1997,155426.6942,No Stress
Bhutan,BTN,27.5,90.5,2002,135348.5224,No Stress
Bhutan,BTN,27.5,90.5,2007,114813.0975,No Stress
Bhutan,BTN,27.5,90.5,2012,105146.5176,No Stress
Bhutan,BTN,27.5,90.5,2013,103455.5479,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1962,86580.03718,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1967,77266.55127,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1972,68522.62511,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1977,60676.08149,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1982,53923.46989,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1987,47937.05604,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1992,42606.69291,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,1997,38039.63166,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,2002,34319.57346,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,2007,31364.78893,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,2012,28914.9923,No Stress
"Bolivia, Plurinational State of",BOL,-17,-65,2013,28441.03756,No Stress
Bosnia and Herzegovina,BIH,44,18,1962,,-
Bosnia and Herzegovina,BIH,44,18,1967,,-
Bosnia and Herzegovina,BIH,44,18,1972,,-
Bosnia and Herzegovina,BIH,44,18,1977,,-
Bosnia and Herzegovina,BIH,44,18,1982,,-
Bosnia and Herzegovina,BIH,44,18,1987,,-
Bosnia and Herzegovina,BIH,44,18,1992,8568.529409,No Stress
Bosnia and Herzegovina,BIH,44,18,1997,10039.59844,No Stress
Bosnia and Herzegovina,BIH,44,18,2002,9108.218204,No Stress
Bosnia and Herzegovina,BIH,44,18,2007,9176.29208,No Stress
Bosnia and Herzegovina,BIH,44,18,2012,9259.462127,No Stress
Bosnia and Herzegovina,BIH,44,18,2013,9270.606927,No Stress
Botswana,BWA,-22,24,1962,4362.430746,No Stress
Botswana,BWA,-22,24,1967,3801.089012,No Stress
Botswana,BWA,-22,24,1972,3242.72616,No Stress
Botswana,BWA,-22,24,1977,2700.342944,No Stress
Botswana,BWA,-22,24,1982,2240.36503,No Stress
Botswana,BWA,-22,24,1987,1899.832894,No Stress
Botswana,BWA,-22,24,1992,1638.144746,Stress
Botswana,BWA,-22,24,1997,1448.095724,Stress
Botswana,BWA,-22,24,2002,1326.717436,Stress
Botswana,BWA,-22,24,2007,1253.141338,Stress
Botswana,BWA,-22,24,2012,1197.658577,Stress
Botswana,BWA,-22,24,2013,1187.446318,Stress
Brazil,BRA,-10,-55,1962,70102.68232,No Stress
Brazil,BRA,-10,-55,1967,60840.61381,No Stress
Brazil,BRA,-10,-55,1972,53743.24371,No Stress
Brazil,BRA,-10,-55,1977,47754.48673,No Stress
Brazil,BRA,-10,-55,1982,42485.64718,No Stress
